# Blind pooled labeling export (spec §Calibration Plan). Fill in `verdict` with exactly one of:										
#   bug - genuine analyzer/segmentation bug, not explained by policy or dictionary										
#   expected-policy - disagreement follows from an intentional, documented segmentation/feature policy										
#   expected-dictionary - disagreement traces to differing dictionary entries (known, acceptable)										
#   corpus-artifact - disagreement traces to OCR/encoding/corpus noise, not the analyzers										
#   noise - disagreement is uninformative (e.g. tie-breaking on a trivial span)										
#   unclear - insufficient evidence in the snippet to decide										
# `notes` is free text.										
label_id	kind	pattern	examples	source_count	text_count	snippet_1	snippet_2	snippet_3	verdict	notes
L001	segmentation	sudachi-a+sudachi-c:[一|安久] ; vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512:[一安|久]	1	1	1	…た作である。「余多病、託治於福山侍医伊沢【一安久】矣、今聞其訃音、不堪痛惜之至、悵然有詠。…			expected-dictionary	
L002	segmentation	sudachi-a+sudachi-c:[つち|や|ね] ; vibrato:unidic-novel-202512:[つち|やね] ; vibrato:unidic-cwj-202512:[つちや|ね]	1	1	1	…ども、ちょっとのことに行かなくて。熱川の【つちやね】、一昨年の二月にいた、あすこ四円だったの…			unclear	
L003	feature	pos1 surface:\t 空白=>sudachi-a+sudachi-c ; 補助記号=>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512	3250881	17810	17547	…けられない事はない。すなわち␣␣beat【␣】butu␣laugh␣walahu␣fl…	…なわち␣␣beat␣butu␣laugh【␣】walahu␣flat␣filattai…	…tu␣laugh␣walahu␣flat【␣】filattai␣hollow␣hola…	expected-policy	
L004	feature	pos3 surface:steals =>vibrato:unidic-novel-202512 ; 一般=>sudachi-a+sudachi-c+vibrato:unidic-cwj-202512	2	1	1	…ef thinks every man 【steals】.（デンマルク）␣　　泥棒は誰れでも盗み…	…ものじゃと思うている。␣He that 【steals】 can hide.（イギリス）␣　　盗…		bug	
L005	feature	pos1 surface:ケノフスキー 名詞=>sudachi-a+sudachi-c+vibrato:unidic-cwj-202512 ; 感動詞=>vibrato:unidic-novel-202512	1	1	1	…フスキーが飛行機で行っちまうんです」␣「【ケノフスキー】？」␣「そうなの。うちに下宿しているケノ…			bug	
L006	segmentation	vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512:[瞽|使者] ; sudachi-a+sudachi-c:[瞽使|者]	1	1	1	…便報知新聞を取つて居た。それに思軒さんの【瞽使者】が毎日々々出て居ます。是はまた飛放れて面…			expected-dictionary	
L007	segmentation	sudachi-a+sudachi-c+vibrato:unidic-cwj-202512:[かき|立つ|れ] ; vibrato:unidic-novel-202512:[かき立つれ]	1	1	1	…勝手次第のたはけをば尾に鰭添へて大袈裟に【かき立つれ】ば世の人これを読みて打興じ遂にはほめたた…			expected-policy	
L008	segmentation	vibrato:unidic-cwj-202512:[押|柄] ; sudachi-a+sudachi-c+vibrato:unidic-novel-202512:[押柄]	5	3	3	…に来りしものならむと推察して、通れと一言【押柄】に許しける。␣　十兵衞これに力を得て、四…	…の悲しげなるところへ、十兵衞殿お宅か、と【押柄】に大人びた口きゝながら這入り来る小坊主、…	…来たりしものならんと推察して、通れと一言【押柄】に許しける。␣　十兵衛これに力を得て、四…	expected-dictionary	
L009	segmentation	sudachi-a+vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512:[地上|権] ; sudachi-c:[地上権]	5	4	4	…一層我が教団を信ずる。そうしてわが教団は【地上権】を信ずるのみじゃ。地上権を極めて強力なら…	…うしてわが教団は地上権を信ずるのみじゃ。【地上権】を極めて強力ならしめんため、我が教団は使…	…にこの三千八百円の場所は三十年後の今日、【地上権】一坪平均千円として二十六万円、すなわち七…	expected-policy	
L010	feature	pos2 surface:虞 固有名詞=>sudachi-a+sudachi-c+vibrato:unidic-novel-202512 ; 普通名詞=>vibrato:unidic-cwj-202512	15	12	12	…␣「世迷言を言うなよ。」␣　と膠もなく、【虞】氏が涙を斥けて、␣「早瀬どうだ、分れるか…	…千手彈琵琶。重衡屬杯千手。朗吟曰燭暗數行【虞】氏涙。夜深四面楚歌聲。頼朝微行。側耳戸外…	…つて、一寸舌を吐いた。␣「燭は暗し、數行【虞】氏の涙、夜は深し四面楚歌の聲。………」␣…	expected-dictionary	
L011	segmentation	vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512:[六百|八十|八] ; sudachi-a+sudachi-c:[六百八十八]	1	1	1	…ニックの犠牲者――船客八百十五人、乗組員【六百八十八】人。␣　救助された者――船客五百四人、船…			expected-policy	
